Time to main (us),Time to first frame (us),Avg build (us),Avg draw (us),Avg frame (us)
607000,661000,161,8486,8647
672000,727000,169,8433,8602
666000,721000,161,8504,8665
735000,790000,141,8499,8640
787000,846000,171,8459,8630
835000,892000,163,8478,8641
877000,933000,149,8479,8628
911000,965000,149,8447,8596
914000,971000,159,8485,8644
945000,999000,163,8495,8658
1000000,1053000,168,8534,8702
102000,158000,151,8512,8663
154000,210000,167,8502,8669
225000,279000,146,8486,8632
261000,315000,151,8463,8614
279000,336000,176,8447,8623
329000,385000,147,8479,8626
353000,406000,157,8525,8682
430000,486000,130,8554,8684
524000,579000,151,8474,8625
551000,607000,142,8475,8617
563000,617000,160,8474,8634
587000,642000,160,8524,8684
664000,717000,171,8441,8612
686000,741000,173,8535,8708
782000,839000,165,8487,8652
840000,896000,138,8509,8647
876000,930000,137,8458,8595
878000,932000,148,8485,8633
908000,961000,131,8529,8660
962000,1017000,140,8502,8642
1016000,1071000,157,8520,8677
82000,141000,168,8540,8708
212000,266000,180,8468,8648
266000,322000,161,8496,8657
348000,402000,170,8495,8665
411000,465000,178,8512,8690
512000,566000,127,8561,8688
607000,663000,168,8527,8695
700000,756000,164,8466,8630
734000,790000,141,8507,8648
781000,836000,175,8424,8599
772000,828000,179,8431,8610
775000,831000,149,8470,8619
801000,855000,144,8573,8717
911000,965000,134,8543,8677
972000,1029000,143,8449,8592
957000,1013000,149,8518,8667
1035000,1089000,180,8468,8648
79000,136000,166,8504,8670
